
Date,Open,High,Low,Close,Volume,Adj Close
2012-03-30,608.77,610.56,597.94,599.55,26050900,599.55
2012-03-29,612.78,616.56,607.23,609.86,21668300,609.86
2012-03-28,618.38,621.45,610.31,617.62,23385200,617.62
2012-03-27,606.18,616.28,606.06,614.48,21628200,614.48
2012-03-26,599.79,607.15,595.26,606.98,21259900,606.98
2012-03-23,600.49,601.80,594.40,596.05,15359900,596.05
2012-03-22,597.78,604.50,595.53,599.34,22281100,599.34
2012-03-21,602.74,609.65,601.41,602.50,22958200,602.50
2012-03-20,599.51,606.90,591.48,605.96,29166500,605.96
2012-03-19,598.37,601.77,589.05,601.10,32187000,601.10
2012-03-16,584.72,589.20,578.00,585.57,29481700,585.57
2012-03-15,599.61,600.01,578.55,585.56,41418500,585.56
2012-03-14,578.05,594.72,575.40,589.58,50570100,589.58
2012-03-13,557.54,568.18,555.75,568.10,24610500,568.10
2012-03-12,548.98,552.00,547.00,552.00,14477800,552.00
2012-03-09,544.21,547.74,543.11,545.17,14943500,545.17
2012-03-08,534.69,542.99,532.12,541.99,18392600,541.99
2012-03-07,536.80,537.78,523.30,530.69,28490300,530.69
2012-03-06,523.66,533.69,516.22,530.26,28899400,530.26
2012-03-05,545.42,547.48,526.00,533.16,28857200,533.16
2012-03-02,544.24,546.80,542.52,545.18,15382800,545.18
2012-03-01,548.17,548.21,538.77,544.47,24380200,544.47
2012-02-29,541.56,547.61,535.70,542.44,33973800,542.44
2012-02-28,527.96,535.41,525.85,535.41,21398000,535.41
2012-02-27,521.31,528.50,516.28,525.76,19515700,525.76
2012-02-24,519.67,522.90,518.64,522.41,14824000,522.41
2012-02-23,515.08,517.83,509.50,516.39,20270400,516.39
2012-02-22,513.08,515.49,509.07,513.04,17243800,513.04
2012-02-21,506.88,514.85,504.12,514.85,21580400,514.85
2012-02-17,503.11,507.77,500.30,502.12,19112200,502.12
2012-02-16,491.50,504.89,486.63,502.21,33715100,502.21
2012-02-15,514.26,526.29,496.89,497.67,53706600,497.67
2012-02-14,504.66,509.56,502.00,509.46,16442800,509.46
2012-02-13,499.53,503.83,497.09,502.60,18454300,502.60
2012-02-10,490.96,497.62,488.55,493.42,22523900,493.42
2012-02-09,480.76,496.75,480.56,493.17,31527700,493.17
2012-02-08,470.50,476.79,469.70,476.68,14544700,476.68
2012-02-07,465.25,469.75,464.58,468.83,11280600,468.83
2012-02-06,458.38,464.98,458.20,463.97,8907600,463.97
2012-02-03,457.30,460.00,455.56,459.68,10235700,459.68
2012-02-02,455.90,457.17,453.98,455.12,6661100,455.12
2012-02-01,458.41,458.99,455.55,456.19,9624500,456.19
2012-01-31,455.59,458.24,453.07,456.48,13988700,456.48
2012-01-30,445.71,453.90,445.39,453.01,13531000,453.01
2012-01-27,444.34,448.48,443.77,447.28,10703900,447.28
2012-01-26,448.36,448.79,443.14,444.63,11570900,444.63
2012-01-25,454.44,454.45,443.73,446.66,34185200,446.66
2012-01-24,425.10,425.10,419.55,420.41,19226900,420.41
2012-01-23,422.67,428.45,422.30,427.41,10915800,427.41
2012-01-20,427.49,427.50,419.75,420.30,14758300,420.30
2012-01-19,430.15,431.37,426.51,427.75,9332700,427.75
2012-01-18,426.96,429.47,426.30,429.11,9872800,429.11
2012-01-17,424.20,425.99,422.96,424.70,8658700,424.70
2012-01-13,419.70,420.45,418.66,419.81,8072200,419.81
2012-01-12,422.28,422.90,418.75,421.39,7592400,421.39
2012-01-11,422.68,422.85,419.31,422.55,7681600,422.55
